	header	desc	date
0	Facts or Feelings? Bitcoin Allocation Makes Sense Even in Nasty Bear Markets	If you run the numbers, bitcoin still belongs in a financial advisor’s investment toolbox.	Jun 30, 2022
1	Bitcoin Drops to Nearly $19K as Fed Renews Inflation Warnings	Central bank leaders warned Wednesday that inflation is going to last longer than some people anticipated.	Jun 30, 2022
2	First Mover Asia: How Traders Are Shorting Tether Stablecoins; Bitcoin Falls but Holds Above $20K	Hedge funds are increasingly betting against USDT in anticipation of it losing value amid concerns about the coin’s reserve backing and systemic risks; ether drops. 	Jun 30, 2022
3	Messari Research: DCG’s Barry Silbert Wins From SEC ETF Stalemate, but Investors Lose	Messari’s Ryan Selkis says Grayscale's product is broken, but SEC leadership won't let them fix it.	Jun 30, 2022
4	Genesis Faces ‘Hundreds of Millions’ in Losses as 3AC Exposure Swamps Crypto Lenders: Sources	The DCG-owned trading colossus is said to have suffered nine-figure losses partly through exposure to Three Arrows Capital and Babel Finance. 	Jun 30, 2022
5	Market Wrap: Bear Market Guides in Vogue as Bitcoin Drops for Fourth Straight Day	BTC was sliding toward $20,000 on Wednesday, as the Bankless newsletter offers mental health tips for surviving a crypto winter. 	Jun 30, 2022
6	Nansen Casts Blame for stETH 'De-Peg' on Terra	The report from the blockchain analytics firm also explains how Celsius and Three Arrows Capital helped foment their own declines.	Jun 30, 2022
7	La caída de las criptomonedas podría continuar debido a la complejidad del sistema, dice Deutsche Bank	Como bitcoin y otros activos son de alto riesgo y especulativos, se ven afectados de manera desproporcionada por los ajustes de la Fed, según un informe. 	Jun 30, 2022
8	Crypto Derivatives Exchange Bybit to Settle Options Contracts in USDC	The company will be using the second-largest stablecoin by market cap for its relative stability. 	Jun 29, 2022
9	Bitcoin cae debajo de $20K en medio de preocupaciones por la inflación en España y signos de debilidad	Traders analizaron la creciente inflación y la debilidad de crecimiento de bitcoin para los próximos meses.	Jun 29, 2022
10	First Mover Americas: BTC Dips;  3AC Liquidation Reportedly Ordered by BVI Court	The latest moves in crypto markets in context for June 29, 2022.	Jun 29, 2022
11	Deutsche Bank: Crypto Free Fall Could Continue Because of the System’s Complexity	As bitcoin and other cryptocurrencies are speculative, high-risk assets, they are disproportionately affected by central bank tightening, the bank said.	Jun 29, 2022
12	Bitcoin Dips Under $20K on Blunted Growth Sentiment as Spain Fuels Inflation Concerns	Traders assessed revived concerns of rampant inflation and growth for the coming months.	Jun 29, 2022
13	First Mover Asia: Remember ICOs? You Would Have Made a Fortune if You HODLed; Bitcoin Slogs Toward $20K  	Investors who purchased a breadbasket of blue chip coin offerings about five years ago would have generated an 819% return, even with the current bear market; most cryptos fell in Tuesday trading. 	Jun 29, 2022
14	Market Wrap: Finger-Pointing and Job Cuts as Bitcoin Slides Back Toward $20K	Bitcoin's price fell for a third straight day, and a rally in Chainlink's LINK token faded – as crypto industry recriminations kept coming and stocks slumped. 	Jun 29, 2022
15	First Mover Americas: Crypto Winter Brings More Layoffs as BofA Sees Deep Freeze Avoided	The latest moves in crypto markets in context for June 28, 2022.	Jun 28, 2022
16	Shiba Inu y Dogecoin lideran las ganancias a siete días mientras bitcoin se estabiliza	El comportamiento especulativo de los inversores probablemente llevó a que las memecoins superaran a las principales criptomonedas, dijeron los analistas.	Jun 28, 2022
17	LINK Rallies as Much as 8% After Listing on Robinhood	It was the first time Robinhood has listed a new token since mid-April. 	Jun 28, 2022
18	Speculation Fuels Shiba Inu, Dogecoin to Biggest 7-Day Gains as Bitcoin Steadies	Speculative investor behavior likely led to memecoins outperforming major cryptocurrencies, analysts said.	Jun 28, 2022
19	First Mover Asia: Chip Maker Nvidia Isn’t an Ether Proxy, Bitcoin Holds Near $21K	Crypto mining aided Nvidia's bottom line, but it hasn't been a major cause of the stock's steep decline. Ether falls but hovers at around $1,200. 	Jun 28, 2022
20	Market Wrap: Recession Fears Halt Crypto Bounce	Analysts see few positive signs to sustain a crypto rally.	Jun 28, 2022
21	Bitcoin mantiene nivel de $20K en medio de signos de impulso alcista 	Los analistas dicen que se necesitan signos de mejora en la economía general para lograr un crecimiento sostenido.	Jun 28, 2022
22	Few Signs of Upward Momentum as Bitcoin Holds $20K	Analysts say wider economic improvements are needed for sustained growth.	Jun 28, 2022
23	Fondos de inversión y traders cripto recortan Tether tras la implosión de UST, según informe	Las posiciones tienen un valor de al menos “cientos de millones” de dólares, dijo un trader.	Jun 27, 2022
24	First Mover Americas: Bitcoin Holds $21K as BTC Outflows Hit Record High	The latest moves in crypto markets in context for June 27, 2022.	Jun 27, 2022
25	Crypto Hedge Funds, Traders Short Tether After UST’s Implosion: Report	The positions are worth at least “hundreds of millions” of dollars in notional value, one trader said.	Jun 27, 2022
26	First Mover Asia: Bitcoin Holds Above $21K in Weekend Trading, Solana Web3 Phone Faces Long Odds 	Ether stays over $1,200; prior blockchain phones have failed because the market has realized their functionalities are already available on apps that can be loaded on any phone.	Jun 27, 2022
27	Opaque Platforms and Intertwined Protocols Pose Big Risk to Crypto	Second article in a series about risks we’re thinking about during these crypto down days.	Jun 26, 2022
28	Bitcoin se estabiliza cerca de $21K; inversores esperan evitar otra caída el fin de semana	Los analistas se cuestionan si BTC podrá mantenerse por encima del umbral de $20.000 en un clima de desconfianza entre los inversores.	Jun 25, 2022
29	Market Wrap: From GBTC Discount to Short Bitcoin ETF, Traders See Reasons for Optimism  	It's hard to imagine that data showing traders piling into a trade designed to profit from further bitcoin price declines might be bullish, but that's how some analysts are interpreting the signal.   	Jun 25, 2022
